               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.029231,           0.0064632,            0.010897,               0.851,             0.93268,             0.93158,             0.70788,            0.016622,           0.0032261,           0.0053845,            0.004357,            0.004357,            0.004357
                  59,            0.026131,           0.0062172,            0.010242,             0.87676,             0.96123,             0.93661,              0.6794,            0.016942,           0.0031816,           0.0043014,            0.004258,            0.004258,            0.004258
                  60,            0.027532,           0.0065892,            0.011272,             0.89371,             0.96801,             0.93992,             0.70874,            0.015933,           0.0030805,           0.0037849,            0.004159,            0.004159,            0.004159
                  61,            0.027277,            0.006672,            0.011656,             0.83028,             0.96946,             0.93845,             0.63771,            0.015911,           0.0030148,           0.0034765,             0.00406,             0.00406,             0.00406
                  62,            0.026607,           0.0059744,            0.014427,             0.89061,             0.95682,             0.95703,             0.69544,            0.017804,           0.0029149,           0.0034149,            0.003961,            0.003961,            0.003961
                  63,            0.027234,           0.0065807,            0.012051,             0.88626,             0.92951,             0.96343,             0.68381,            0.017216,            0.002921,           0.0031109,            0.003862,            0.003862,            0.003862
                  64,            0.027102,            0.006511,           0.0092091,             0.93004,             0.94398,             0.96508,             0.76086,            0.015678,            0.002851,           0.0028312,            0.003763,            0.003763,            0.003763
                  65,            0.025432,           0.0070054,            0.010882,             0.91806,             0.97059,             0.97736,             0.78343,            0.015427,           0.0028506,            0.002386,            0.003664,            0.003664,            0.003664
                  66,            0.021856,           0.0056544,            0.012828,             0.95587,             0.95588,             0.98263,               0.713,            0.016535,           0.0028134,           0.0022368,            0.003565,            0.003565,            0.003565
                  67,            0.027385,           0.0068407,            0.011327,             0.95471,             0.95588,             0.98288,             0.73737,            0.015571,           0.0027926,           0.0022328,            0.003466,            0.003466,            0.003466
                  68,            0.024957,           0.0057539,           0.0099817,             0.94501,             0.96221,             0.98426,             0.70243,            0.016074,           0.0027725,           0.0021999,            0.003367,            0.003367,            0.003367
                  69,            0.026024,           0.0059559,             0.01177,             0.96288,             0.94118,             0.98192,             0.77394,            0.015395,           0.0027997,           0.0021522,            0.003268,            0.003268,            0.003268
                  70,            0.027627,           0.0064374,           0.0076735,             0.95533,             0.94118,             0.97975,              0.8019,             0.01647,           0.0027679,           0.0021517,            0.003169,            0.003169,            0.003169
                  71,            0.023551,           0.0065031,            0.013021,             0.93803,             0.95588,             0.97991,             0.67994,            0.019263,           0.0028171,           0.0021375,             0.00307,             0.00307,             0.00307
                  72,            0.027396,           0.0058477,           0.0097019,             0.92859,             0.96852,             0.98093,             0.73563,            0.018339,           0.0028222,           0.0021033,            0.002971,            0.002971,            0.002971
                  73,            0.025443,           0.0067904,            0.010915,             0.93658,             0.95588,              0.9784,             0.75743,            0.017453,           0.0028826,           0.0020283,            0.002872,            0.002872,            0.002872
                  74,            0.023069,           0.0066146,           0.0081209,              0.8932,             0.99834,             0.97594,             0.78953,            0.015993,           0.0028722,           0.0021011,            0.002773,            0.002773,            0.002773
                  75,             0.02244,           0.0063001,           0.0086616,             0.89531,             0.98734,             0.97429,              0.8167,            0.014954,           0.0027681,           0.0026331,            0.002674,            0.002674,            0.002674
                  76,            0.023445,           0.0058756,           0.0083541,             0.89494,             0.98834,             0.97626,             0.79972,            0.015928,           0.0026524,           0.0026841,            0.002575,            0.002575,            0.002575
                  77,            0.022721,           0.0060565,           0.0099765,              0.9041,             0.98468,              0.9754,             0.80507,            0.014586,           0.0026215,           0.0028305,            0.002476,            0.002476,            0.002476
                  78,            0.022793,           0.0062623,           0.0071562,             0.90226,             0.99147,             0.97619,             0.81237,             0.01452,            0.002613,           0.0028949,            0.002377,            0.002377,            0.002377
                  79,            0.021645,           0.0060971,            0.010006,             0.92209,             0.97729,             0.97804,             0.82506,            0.014837,            0.002606,           0.0029561,            0.002278,            0.002278,            0.002278
                  80,            0.021769,           0.0054632,           0.0083691,             0.92292,             0.97867,             0.97715,             0.81903,            0.014242,           0.0026013,           0.0025672,            0.002179,            0.002179,            0.002179
                  81,            0.021731,            0.005739,           0.0060743,             0.92318,             0.96446,             0.98128,             0.84192,            0.014253,           0.0025879,           0.0019938,             0.00208,             0.00208,             0.00208
                  82,            0.019758,           0.0054424,            0.010232,             0.92514,             0.96039,             0.98149,             0.82623,            0.013719,           0.0025266,            0.001908,            0.001981,            0.001981,            0.001981
                  83,            0.021217,           0.0056652,           0.0088725,             0.94722,             0.95588,             0.98206,             0.86203,            0.013706,           0.0024903,           0.0018215,            0.001882,            0.001882,            0.001882
                  84,             0.02022,           0.0048419,           0.0072874,             0.93289,             0.95588,             0.98132,             0.80442,            0.015925,           0.0024954,           0.0017761,            0.001783,            0.001783,            0.001783
                  85,            0.020837,           0.0060891,           0.0082236,             0.92702,             0.95588,             0.98357,             0.80902,            0.015107,           0.0024531,            0.001708,            0.001684,            0.001684,            0.001684
                  86,            0.021438,           0.0059734,           0.0089842,             0.93768,             0.95588,             0.98494,             0.81899,            0.015122,           0.0024438,           0.0016609,            0.001585,            0.001585,            0.001585
                  87,            0.020399,           0.0055207,           0.0077117,             0.90644,                   1,             0.98596,             0.83161,            0.013794,           0.0024064,           0.0016216,            0.001486,            0.001486,            0.001486
                  88,            0.021184,           0.0050206,             0.00997,             0.97724,              0.9382,             0.98589,             0.85526,            0.012891,           0.0023773,           0.0015733,            0.001387,            0.001387,            0.001387
                  89,             0.02389,           0.0052348,           0.0096458,             0.97347,             0.95588,             0.98619,             0.84387,             0.01253,           0.0023688,           0.0015621,            0.001288,            0.001288,            0.001288
                  90,            0.019572,           0.0054767,           0.0096552,             0.97799,             0.93886,             0.98619,             0.84014,            0.012614,           0.0023731,           0.0015591,            0.001189,            0.001189,            0.001189
                  91,             0.01835,           0.0049091,           0.0078172,             0.91276,             0.99905,             0.98435,             0.85635,            0.011976,           0.0023806,           0.0015782,             0.00109,             0.00109,             0.00109
                  92,            0.019254,            0.005041,           0.0090839,             0.91524,             0.99713,             0.98385,             0.85141,            0.012758,           0.0024077,           0.0015787,            0.000991,            0.000991,            0.000991
                  93,            0.018865,           0.0063746,           0.0068656,             0.91519,             0.99786,             0.98335,             0.86789,            0.011947,           0.0024053,           0.0015624,            0.000892,            0.000892,            0.000892
                  94,            0.018963,           0.0052702,           0.0072111,             0.91422,             0.99639,             0.98335,             0.86675,            0.012047,           0.0023853,           0.0015258,            0.000793,            0.000793,            0.000793
                  95,            0.018014,           0.0054109,            0.010241,             0.91315,             0.99467,             0.98308,             0.85107,            0.011847,           0.0023792,           0.0014834,            0.000694,            0.000694,            0.000694
                  96,            0.018709,           0.0051653,            0.010586,             0.91244,               0.994,             0.98315,             0.86798,            0.011742,           0.0023627,           0.0014431,            0.000595,            0.000595,            0.000595
                  97,            0.019429,           0.0056443,             0.00886,             0.92323,             0.98529,             0.98377,             0.86791,            0.011452,           0.0023471,           0.0014257,            0.000496,            0.000496,            0.000496
                  98,            0.018498,           0.0051196,           0.0074412,             0.91336,             0.99362,             0.98312,              0.8739,            0.011361,           0.0023462,           0.0014122,            0.000397,            0.000397,            0.000397
                  99,            0.020319,            0.005288,           0.0095387,             0.91455,             0.99899,             0.98224,             0.87284,            0.011457,           0.0023541,           0.0014055,            0.000298,            0.000298,            0.000298
